loan_id,installment_no,due_date,due_principal,due_fee_interest,due_total,scheduled_balance_after
14,1,2023-02-28,103.31,6.91,110.22,320.17
14,2,2023-03-31,105.0,5.22,110.22,215.17
14,3,2023-04-30,106.71,3.51,110.22,108.46
14,4,2023-05-31,108.46,1.77,110.23,0.0
15,1,2023-02-27,214.29,9.56,223.85,657.09
15,2,2023-03-27,216.64,7.21,223.85,440.45
15,3,2023-04-27,219.02,4.83,223.85,221.43
15,4,2023-05-27,221.43,2.43,223.86,0.0
16,1,2023-02-20,140.5,7.53,148.03,721.14
16,2,2023-03-20,141.73,6.3,148.03,579.41
16,3,2023-04-20,142.97,5.06,148.03,436.44
16,4,2023-05-20,144.22,3.81,148.03,292.22
16,5,2023-06-20,145.48,2.55,148.03,146.74
16,6,2023-07-20,146.74,1.28,148.02,0.0
17,1,2023-03-13,336.5,12.54,349.04,1028.16
17,2,2023-04-13,339.59,9.45,349.04,688.57
17,3,2023-05-13,342.71,6.33,349.04,345.86
17,4,2023-06-13,345.86,3.18,349.04,0.0
18,1,2023-03-24,198.06,11.79,209.85,1019.47
18,2,2023-04-24,199.98,9.88,209.86,819.49
18,3,2023-05-24,201.92,7.94,209.86,617.57
18,4,2023-06-24,203.88,5.98,209.86,413.69
18,5,2023-07-24,205.85,4.01,209.86,207.84
18,6,2023-08-24,207.84,2.01,209.85,0.0
19,1,2023-03-16,93.32,3.43,96.75,285.06
19,2,2023-04-16,94.16,2.58,96.74,190.9
19,3,2023-05-16,95.02,1.73,96.75,95.88
19,4,2023-06-16,95.88,0.87,96.75,0.0
20,1,2023-03-05,104.55,3.9,108.45,319.46
20,2,2023-04-05,105.51,2.94,108.45,213.95
20,3,2023-05-05,106.48,1.97,108.45,107.47
20,4,2023-06-05,107.47,0.99,108.46,0.0
21,1,2023-03-11,252.8,10.74,263.54,774.36
21,2,2023-04-11,255.44,8.09,263.53,518.92
21,3,2023-05-11,258.11,5.42,263.53,260.81
21,4,2023-06-11,260.81,2.73,263.54,0.0
22,1,2023-03-19,62.69,3.35,66.04,193.02
22,2,2023-04-19,63.51,2.53,66.04,129.51
22,3,2023-05-19,64.34,1.7,66.04,65.17
22,4,2023-06-19,65.17,0.85,66.02,0.0
23,1,2023-03-13,122.23,4.67,126.9,373.62
23,2,2023-04-13,123.38,3.52,126.9,250.24
23,3,2023-05-13,124.54,2.36,126.9,125.7
23,4,2023-06-13,125.7,1.18,126.88,0.0
24,1,2023-03-27,132.21,7.53,139.74,407.81
24,2,2023-04-27,134.06,5.69,139.75,273.75
24,3,2023-05-27,135.93,3.82,139.75,137.82
24,4,2023-06-27,137.82,1.92,139.74,0.0
25,1,2023-03-04,78.38,10.49,88.87,918.5
25,2,2023-04-04,79.2,9.66,88.86,839.3
25,3,2023-05-04,80.03,8.83,88.86,759.27
25,4,2023-06-04,80.88,7.99,88.87,678.39
25,5,2023-07-04,81.73,7.14,88.87,596.66
25,6,2023-08-04,82.59,6.28,88.87,514.07
25,7,2023-09-04,83.46,5.41,88.87,430.61
25,8,2023-10-04,84.33,4.53,88.86,346.28
25,9,2023-11-04,85.22,3.64,88.86,261.06
25,10,2023-12-04,86.12,2.75,88.87,174.94
25,11,2024-01-04,87.02,1.84,88.86,87.92
25,12,2024-02-04,87.92,0.93,88.85,0.0
26,1,2023-03-23,193.36,7.5,200.86,591.23
26,2,2023-04-23,195.21,5.65,200.86,396.02
26,3,2023-05-23,197.07,3.78,200.85,198.95
26,4,2023-06-23,198.95,1.9,200.85,0.0
27,1,2023-03-03,225.33,18.73,244.06,1172.72
27,2,2023-04-03,228.34,15.71,244.05,944.38
27,3,2023-05-03,231.4,12.65,244.05,712.98
27,4,2023-06-03,234.5,9.55,244.05,478.48
27,5,2023-07-03,237.64,6.41,244.05,240.84
27,6,2023-08-03,240.84,3.23,244.07,0.0
28,1,2023-03-16,102.61,5.86,108.47,527.51
28,2,2023-04-16,103.56,4.9,108.46,423.95
28,3,2023-05-16,104.52,3.94,108.46,319.43
28,4,2023-06-16,105.49,2.97,108.46,213.94
28,5,2023-07-16,106.47,1.99,108.46,107.47
28,6,2023-08-16,107.47,1.0,108.47,0.0
29,1,2023-03-25,113.79,4.1,117.89,347.49
29,2,2023-04-25,114.81,3.09,117.9,232.68
29,3,2023-05-25,115.83,2.07,117.9,116.85
29,4,2023-06-25,116.85,1.04,117.89,0.0
30,1,2023-04-01,50.56,5.38,55.94,265.96
30,2,2023-05-01,51.42,4.52,55.94,214.54
30,3,2023-06-01,52.29,3.65,55.94,162.25
30,4,2023-07-01,53.18,2.76,55.94,109.07
30,5,2023-08-01,54.08,1.85,55.93,54.99
30,6,2023-09-01,54.99,0.93,55.92,0.0
31,1,2023-04-21,149.07,8.35,157.42,766.01
31,2,2023-05-21,150.43,6.99,157.42,615.58
31,3,2023-06-21,151.8,5.62,157.42,463.78
31,4,2023-07-21,153.19,4.23,157.42,310.59
31,5,2023-08-21,154.59,2.83,157.42,156.0
31,6,2023-09-21,156.0,1.42,157.42,0.0
32,1,2023-04-24,79.25,4.71,83.96,407.91
32,2,2023-05-24,80.02,3.94,83.96,327.89
32,3,2023-06-24,80.79,3.17,83.96,247.1
32,4,2023-07-24,81.57,2.39,83.96,165.53
32,5,2023-08-24,82.36,1.6,83.96,83.17
32,6,2023-09-24,83.17,0.8,83.97,0.0
33,1,2023-04-16,167.95,7.35,175.3,514.77
33,2,2023-05-16,169.76,5.54,175.3,345.01
33,3,2023-06-16,171.58,3.71,175.29,173.43
33,4,2023-07-16,173.43,1.87,175.3,0.0
34,1,2023-04-29,52.43,11.58,64.01,638.21
34,2,2023-05-29,53.31,10.7,64.01,584.9
34,3,2023-06-29,54.21,9.81,64.02,530.69
34,4,2023-07-29,55.12,8.9,64.02,475.57
34,5,2023-08-29,56.04,7.98,64.02,419.53
34,6,2023-09-29,56.98,7.04,64.02,362.55
34,7,2023-10-29,57.94,6.08,64.02,304.61
34,8,2023-11-29,58.91,5.11,64.02,245.7
34,9,2023-12-29,59.9,4.12,64.02,185.8
34,10,2024-01-29,60.9,3.12,64.02,124.9
34,11,2024-02-29,61.92,2.09,64.01,62.98
34,12,2024-03-29,62.98,1.06,64.04,0.0
35,1,2023-04-04,126.37,6.9,133.27,648.94
35,2,2023-05-04,127.5,5.78,133.28,521.44
35,3,2023-06-04,128.63,4.64,133.27,392.81
35,4,2023-07-04,129.78,3.5,133.28,263.03
35,5,2023-08-04,130.93,2.34,133.27,132.1
35,6,2023-09-04,132.1,1.18,133.28,0.0
36,1,2023-04-11,118.0,5.05,123.05,361.52
36,2,2023-05-11,119.25,3.81,123.06,242.27
36,3,2023-06-11,120.5,2.55,123.05,121.77
36,4,2023-07-11,121.77,1.28,123.05,0.0
37,1,2023-04-22,100.2,3.76,103.96,306.19
37,2,2023-05-22,101.12,2.83,103.95,205.07
37,3,2023-06-22,102.06,1.9,103.96,103.01
37,4,2023-07-22,103.01,0.95,103.96,0.0
38,1,2023-04-15,367.98,14.17,382.15,1125.02
38,2,2023-05-15,371.47,10.68,382.15,753.55
38,3,2023-06-15,375.0,7.15,382.15,378.55
38,4,2023-07-15,378.55,3.59,382.14,0.0
39,1,2023-04-22,208.05,7.9,215.95,635.89
39,2,2023-05-22,209.99,5.95,215.94,425.9
39,3,2023-06-22,211.96,3.99,215.95,213.94
39,4,2023-07-22,213.94,2.0,215.94,0.0
40,1,2023-04-05,114.77,6.44,121.21,589.81
40,2,2023-05-05,115.82,5.39,121.21,473.99
40,3,2023-06-05,116.88,4.33,121.21,357.11
40,4,2023-07-05,117.95,3.27,121.22,239.16
40,5,2023-08-05,119.03,2.19,121.22,120.13
40,6,2023-09-05,120.13,1.1,121.23,0.0
41,1,2023-04-07,131.02,8.92,139.94,406.27
41,2,2023-05-07,133.2,6.74,139.94,273.07
41,3,2023-06-07,135.41,4.53,139.94,137.66
41,4,2023-07-07,137.66,2.28,139.94,0.0
42,1,2023-04-03,147.23,6.17,153.4,450.88
42,2,2023-05-03,148.75,4.65,153.4,302.13
42,3,2023-06-03,150.29,3.12,153.41,151.84
42,4,2023-07-03,151.84,1.57,153.41,0.0
43,1,2023-04-23,169.16,10.02,179.18,870.57
43,2,2023-05-23,170.79,8.39,179.18,699.78
43,3,2023-06-23,172.44,6.74,179.18,527.34
43,4,2023-07-23,174.1,5.08,179.18,353.24
43,5,2023-08-23,175.77,3.4,179.17,177.47
43,6,2023-09-23,177.47,1.71,179.18,0.0
44,1,2023-04-10,186.8,7.18,193.98,571.06
44,2,2023-05-10,188.56,5.41,193.97,382.5
44,3,2023-06-10,190.35,3.62,193.97,192.15
44,4,2023-07-10,192.15,1.82,193.97,0.0
45,1,2023-04-17,64.72,7.46,72.18,752.14
45,2,2023-05-17,65.31,6.87,72.18,686.83
45,3,2023-06-17,65.91,6.27,72.18,620.92
45,4,2023-07-17,66.51,5.67,72.18,554.41
45,5,2023-08-17,67.12,5.06,72.18,487.29
45,6,2023-09-17,67.73,4.45,72.18,419.56
45,7,2023-10-17,68.35,3.83,72.18,351.21
45,8,2023-11-17,68.97,3.21,72.18,282.24
45,9,2023-12-17,69.6,2.58,72.18,212.64
45,10,2024-01-17,70.24,1.94,72.18,142.4
45,11,2024-02-17,70.88,1.3,72.18,71.52
45,12,2024-03-17,71.52,0.65,72.17,0.0
46,1,2023-04-07,97.4,8.51,105.91,507.93
46,2,2023-05-07,98.77,7.14,105.91,409.16
46,3,2023-06-07,100.16,5.75,105.91,309.0
46,4,2023-07-07,101.57,4.35,105.92,207.43
46,5,2023-08-07,102.99,2.92,105.91,104.44
46,6,2023-09-07,104.44,1.47,105.91,0.0
47,1,2023-04-04,20.51,2.4,22.91,238.51
47,2,2023-05-04,20.7,2.21,22.91,217.81
47,3,2023-06-04,20.89,2.02,22.91,196.92
47,4,2023-07-04,21.08,1.83,22.91,175.84
47,5,2023-08-04,21.28,1.63,22.91,154.56
47,6,2023-09-04,21.47,1.43,22.9,133.09
47,7,2023-10-04,21.67,1.23,22.9,111.42
47,8,2023-11-04,21.87,1.03,22.9,89.55
47,9,2023-12-04,22.08,0.83,22.91,67.47
47,10,2024-01-04,22.28,0.63,22.91,45.19
47,11,2024-02-04,22.49,0.42,22.91,22.7
47,12,2024-03-04,22.7,0.21,22.91,0.0
48,1,2023-04-08,322.72,12.99,335.71,987.51
48,2,2023-05-08,325.92,9.79,335.71,661.59
48,3,2023-06-08,329.16,6.56,335.72,332.43
48,4,2023-07-08,332.43,3.3,335.73,0.0
49,1,2023-05-22,300.91,11.61,312.52,920.01
49,2,2023-06-22,303.77,8.75,312.52,616.24
49,3,2023-07-22,306.66,5.86,312.52,309.58
49,4,2023-08-22,309.58,2.94,312.52,0.0
50,1,2023-05-16,28.97,3.39,32.36,336.88
50,2,2023-06-16,29.23,3.12,32.35,307.65
50,3,2023-07-16,29.51,2.85,32.36,278.14
50,4,2023-08-16,29.78,2.57,32.35,248.36
50,5,2023-09-16,30.05,2.3,32.35,218.31
50,6,2023-10-16,30.33,2.02,32.35,187.98
50,7,2023-11-16,30.61,1.74,32.35,157.37
50,8,2023-12-16,30.9,1.46,32.36,126.47
50,9,2024-01-16,31.18,1.17,32.35,95.29
50,10,2024-02-16,31.47,0.88,32.35,63.82
50,11,2024-03-16,31.76,0.59,32.35,32.06
50,12,2024-04-16,32.06,0.3,32.36,0.0
51,1,2023-05-16,120.64,6.79,127.43,372.0
51,2,2023-06-16,122.31,5.13,127.44,249.69
51,3,2023-07-16,123.99,3.44,127.43,125.7
51,4,2023-08-16,125.7,1.73,127.43,0.0
52,1,2023-05-12,150.61,8.02,158.63,463.71
52,2,2023-06-12,152.57,6.05,158.62,311.14
52,3,2023-07-12,154.56,4.06,158.62,156.58
52,4,2023-08-12,156.58,2.04,158.62,0.0
53,1,2023-05-21,89.03,5.9,94.93,459.69
53,2,2023-06-21,89.98,4.94,94.92,369.71
53,3,2023-07-21,90.95,3.97,94.92,278.76
53,4,2023-08-21,91.93,3.0,94.93,186.83
53,5,2023-09-21,92.92,2.01,94.93,93.91
53,6,2023-10-21,93.91,1.01,94.92,0.0
54,1,2023-05-11,45.7,5.27,50.97,531.17
54,2,2023-06-11,46.12,4.86,50.98,485.05
54,3,2023-07-11,46.54,4.43,50.97,438.51
54,4,2023-08-11,46.97,4.01,50.98,391.54
54,5,2023-09-11,47.4,3.58,50.98,344.14
54,6,2023-10-11,47.83,3.15,50.98,296.31
54,7,2023-11-11,48.27,2.71,50.98,248.04
54,8,2023-12-11,48.71,2.27,50.98,199.33
54,9,2024-01-11,49.15,1.82,50.97,150.18
54,10,2024-02-11,49.6,1.37,50.97,100.58
54,11,2024-03-11,50.06,0.92,50.98,50.52
54,12,2024-04-11,50.52,0.46,50.98,0.0
55,1,2023-05-19,133.25,6.62,139.87,409.57
55,2,2023-06-19,134.87,4.99,139.86,274.7
55,3,2023-07-19,136.52,3.35,139.87,138.18
55,4,2023-08-19,138.18,1.68,139.86,0.0
56,1,2023-05-19,132.23,8.64,140.87,682.48
56,2,2023-06-19,133.63,7.24,140.87,548.85
56,3,2023-07-19,135.05,5.82,140.87,413.8
56,4,2023-08-19,136.48,4.39,140.87,277.32
56,5,2023-09-19,137.93,2.94,140.87,139.39
56,6,2023-10-19,139.39,1.48,140.87,0.0
57,1,2023-05-28,164.82,9.62,174.44,847.91
57,2,2023-06-28,166.39,8.05,174.44,681.52
57,3,2023-07-28,167.97,6.47,174.44,513.55
57,4,2023-08-28,169.57,4.88,174.45,343.98
57,5,2023-09-28,171.18,3.27,174.45,172.8
57,6,2023-10-28,172.8,1.64,174.44,0.0
58,1,2023-05-23,268.45,9.92,278.37,820.12
58,2,2023-06-23,270.9,7.48,278.38,549.22
58,3,2023-07-23,273.37,5.01,278.38,275.85
58,4,2023-08-23,275.85,2.51,278.36,0.0
59,1,2023-05-23,148.94,5.92,154.86,455.64
59,2,2023-06-23,150.4,4.46,154.86,305.24
59,3,2023-07-23,151.87,2.99,154.86,153.37
59,4,2023-08-23,153.37,1.5,154.87,0.0
60,1,2023-05-27,104.83,5.59,110.42,322.79
60,2,2023-06-27,106.2,4.22,110.42,216.59
60,3,2023-07-27,107.59,2.83,110.42,109.0
60,4,2023-08-27,109.0,1.43,110.43,0.0
61,1,2023-05-18,129.81,14.5,144.31,684.55
61,2,2023-06-18,132.12,12.19,144.31,552.43
61,3,2023-07-18,134.47,9.84,144.31,417.96
61,4,2023-08-18,136.87,7.44,144.31,281.09
61,5,2023-09-18,139.31,5.01,144.32,141.78
61,6,2023-10-18,141.78,2.52,144.3,0.0
62,1,2023-05-11,24.46,5.81,30.27,299.77
62,2,2023-06-11,24.9,5.37,30.27,274.87
62,3,2023-07-11,25.34,4.92,30.26,249.53
62,4,2023-08-11,25.8,4.47,30.27,223.73
62,5,2023-09-11,26.26,4.01,30.27,197.47
62,6,2023-10-11,26.73,3.54,30.27,170.74
62,7,2023-11-11,27.21,3.06,30.27,143.53
62,8,2023-12-11,27.7,2.57,30.27,115.83
62,9,2024-01-11,28.19,2.07,30.26,87.64
62,10,2024-02-11,28.7,1.57,30.27,58.94
62,11,2024-03-11,29.21,1.06,30.27,29.73
62,12,2024-04-11,29.73,0.53,30.26,0.0
63,1,2023-05-02,81.14,4.31,85.45,249.81
63,2,2023-06-02,82.2,3.25,85.45,167.61
63,3,2023-07-02,83.27,2.18,85.45,84.34
63,4,2023-08-02,84.34,1.1,85.44,0.0
64,1,2023-05-13,106.23,11.69,117.92,1231.59
64,2,2023-06-13,107.15,10.77,117.92,1124.44
64,3,2023-07-13,108.09,9.83,117.92,1016.35
64,4,2023-08-13,109.04,8.88,117.92,907.31
64,5,2023-09-13,109.99,7.93,117.92,797.32
64,6,2023-10-13,110.95,6.97,117.92,686.37
64,7,2023-11-13,111.92,6.0,117.92,574.45
64,8,2023-12-13,112.9,5.02,117.92,461.55
64,9,2024-01-13,113.89,4.03,117.92,347.66
64,10,2024-02-13,114.88,3.04,117.92,232.78
64,11,2024-03-13,115.89,2.03,117.92,116.89
64,12,2024-04-13,116.89,1.02,117.91,0.0
65,1,2023-06-15,25.02,3.93,28.95,296.3
65,2,2023-07-15,25.33,3.63,28.96,270.97
65,3,2023-08-15,25.64,3.32,28.96,245.33
65,4,2023-09-15,25.95,3.0,28.95,219.38
65,5,2023-10-15,26.27,2.68,28.95,193.11
65,6,2023-11-15,26.59,2.36,28.95,166.52
65,7,2023-12-15,26.92,2.04,28.96,139.6
65,8,2024-01-15,27.25,1.71,28.96,112.35
65,9,2024-02-15,27.58,1.38,28.96,84.77
65,10,2024-03-15,27.92,1.04,28.96,56.85
65,11,2024-04-15,28.26,0.7,28.96,28.59
65,12,2024-05-15,28.59,0.35,28.94,0.0
66,1,2023-06-21,60.3,6.73,67.03,699.65
66,2,2023-07-21,60.84,6.2,67.04,638.81
66,3,2023-08-21,61.38,5.66,67.04,577.43
66,4,2023-09-21,61.92,5.12,67.04,515.51
66,5,2023-10-21,62.47,4.57,67.04,453.04
66,6,2023-11-21,63.02,4.01,67.03,390.02
66,7,2023-12-21,63.58,3.46,67.04,326.44
66,8,2024-01-21,64.14,2.89,67.03,262.3
66,9,2024-02-21,64.71,2.32,67.03,197.59
66,10,2024-03-21,65.28,1.75,67.03,132.31
66,11,2024-04-21,65.86,1.17,67.03,66.45
66,12,2024-05-21,66.45,0.59,67.04,0.0
67,1,2023-06-17,107.09,7.08,114.17,552.94
67,2,2023-07-17,108.24,5.93,114.17,444.7
67,3,2023-08-17,109.4,4.77,114.17,335.3
67,4,2023-09-17,110.57,3.6,114.17,224.73
67,5,2023-10-17,111.76,2.41,114.17,112.97
67,6,2023-11-17,112.97,1.21,114.18,0.0
68,1,2023-06-09,205.34,8.63,213.97,628.85
68,2,2023-07-09,207.46,6.51,213.97,421.39
68,3,2023-08-09,209.61,4.36,213.97,211.78
68,4,2023-09-09,211.78,2.19,213.97,0.0
69,1,2023-06-09,17.74,2.89,20.63,210.57
69,2,2023-07-09,17.96,2.66,20.62,192.61
69,3,2023-08-09,18.19,2.43,20.62,174.42
69,4,2023-09-09,18.42,2.2,20.62,156.0
69,5,2023-10-09,18.65,1.97,20.62,137.35
69,6,2023-11-09,18.89,1.74,20.63,118.46
69,7,2023-12-09,19.13,1.5,20.63,99.33
69,8,2024-01-09,19.37,1.26,20.63,79.96
69,9,2024-02-09,19.61,1.01,20.62,60.35
69,10,2024-03-09,19.86,0.76,20.62,40.49
69,11,2024-04-09,20.11,0.51,20.62,20.38
69,12,2024-05-09,20.38,0.26,20.64,0.0
70,1,2023-06-20,97.07,6.49,103.56,300.82
70,2,2023-07-20,98.66,4.91,103.57,202.16
70,3,2023-08-20,100.26,3.3,103.56,101.9
70,4,2023-09-20,101.9,1.66,103.56,0.0
71,1,2023-06-19,101.99,4.39,106.38,312.51
71,2,2023-07-19,103.07,3.31,106.38,209.44
71,3,2023-08-19,104.17,2.22,106.39,105.27
71,4,2023-09-19,105.27,1.11,106.38,0.0
72,1,2023-06-30,149.1,8.47,157.57,459.85
72,2,2023-07-30,151.17,6.39,157.56,308.68
72,3,2023-08-30,153.27,4.29,157.56,155.41
72,4,2023-09-30,155.41,2.16,157.57,0.0
73,1,2023-06-03,146.51,7.93,154.44,752.16
73,2,2023-07-03,147.8,6.63,154.43,604.36
73,3,2023-08-03,149.11,5.33,154.44,455.25
73,4,2023-09-03,150.42,4.02,154.44,304.83
73,5,2023-10-03,151.75,2.69,154.44,153.08
73,6,2023-11-03,153.08,1.35,154.43,0.0
74,1,2023-06-11,89.39,3.46,92.85,273.33
74,2,2023-07-11,90.25,2.61,92.86,183.08
74,3,2023-08-11,91.11,1.75,92.86,91.97
74,4,2023-09-11,91.97,0.88,92.85,0.0
75,1,2023-06-24,103.52,3.82,107.34,316.24
75,2,2023-07-24,104.46,2.88,107.34,211.78
75,3,2023-08-24,105.41,1.93,107.34,106.37
75,4,2023-09-24,106.37,0.97,107.34,0.0
76,1,2023-06-22,32.19,7.01,39.2,391.33
76,2,2023-07-22,32.73,6.48,39.21,358.6
76,3,2023-08-22,33.27,5.94,39.21,325.33
76,4,2023-09-22,33.82,5.39,39.21,291.51
76,5,2023-10-22,34.38,4.83,39.21,257.13
76,6,2023-11-22,34.95,4.26,39.21,222.18
76,7,2023-12-22,35.53,3.68,39.21,186.65
76,8,2024-01-22,36.12,3.09,39.21,150.53
76,9,2024-02-22,36.71,2.49,39.2,113.82
76,10,2024-03-22,37.32,1.88,39.2,76.5
76,11,2024-04-22,37.94,1.27,39.21,38.56
76,12,2024-05-22,38.56,0.64,39.2,0.0
77,1,2023-06-30,22.3,2.52,24.82,258.93
77,2,2023-07-31,22.5,2.32,24.82,236.43
77,3,2023-08-31,22.7,2.12,24.82,213.73
77,4,2023-09-30,22.91,1.92,24.83,190.82
77,5,2023-10-31,23.11,1.71,24.82,167.71
77,6,2023-11-30,23.32,1.5,24.82,144.39
77,7,2023-12-31,23.53,1.29,24.82,120.86
77,8,2024-01-31,23.74,1.08,24.82,97.12
77,9,2024-02-29,23.95,0.87,24.82,73.17
77,10,2024-03-31,24.17,0.66,24.83,49.0
77,11,2024-04-30,24.38,0.44,24.82,24.62
77,12,2024-05-31,24.62,0.22,24.84,0.0
78,1,2023-06-19,101.85,12.66,114.51,1188.49
78,2,2023-07-19,102.85,11.67,114.52,1085.64
78,3,2023-08-19,103.86,10.66,114.52,981.78
78,4,2023-09-19,104.87,9.64,114.51,876.91
78,5,2023-10-19,105.9,8.61,114.51,771.01
78,6,2023-11-19,106.94,7.57,114.51,664.07
78,7,2023-12-19,107.99,6.52,114.51,556.08
78,8,2024-01-19,109.05,5.46,114.51,447.03
78,9,2024-02-19,110.12,4.39,114.51,336.91
78,10,2024-03-19,111.2,3.31,114.51,225.71
78,11,2024-04-19,112.3,2.22,114.52,113.41
78,12,2024-05-19,113.41,1.11,114.52,0.0
79,1,2023-06-28,177.91,6.72,184.63,543.72
79,2,2023-07-28,179.56,5.06,184.62,364.16
79,3,2023-08-28,181.24,3.39,184.63,182.92
79,4,2023-09-28,182.92,1.7,184.62,0.0
80,1,2023-06-10,56.79,4.71,61.5,295.51
80,2,2023-07-10,57.54,3.95,61.49,237.97
80,3,2023-08-10,58.31,3.18,61.49,179.66
80,4,2023-09-10,59.09,2.4,61.49,120.57
80,5,2023-10-10,59.88,1.61,61.49,60.69
80,6,2023-11-10,60.69,0.81,61.5,0.0
81,1,2023-06-20,101.01,6.58,107.59,521.32
81,2,2023-07-20,102.08,5.51,107.59,419.24
81,3,2023-08-20,103.16,4.43,107.59,316.08
81,4,2023-09-20,104.25,3.34,107.59,211.83
81,5,2023-10-20,105.35,2.24,107.59,106.48
81,6,2023-11-20,106.48,1.13,107.61,0.0
82,1,2023-06-10,173.6,6.57,180.17,530.58
82,2,2023-07-10,175.22,4.95,180.17,355.36
82,3,2023-08-10,176.85,3.32,180.17,178.51
82,4,2023-09-10,178.51,1.67,180.18,0.0
83,1,2023-06-22,32.62,3.9,36.52,379.8
83,2,2023-07-22,32.92,3.59,36.51,346.88
83,3,2023-08-22,33.24,3.28,36.52,313.64
83,4,2023-09-22,33.55,2.97,36.52,280.09
83,5,2023-10-22,33.87,2.65,36.52,246.22
83,6,2023-11-22,34.19,2.33,36.52,212.03
83,7,2023-12-22,34.51,2.01,36.52,177.52
83,8,2024-01-22,34.84,1.68,36.52,142.68
83,9,2024-02-22,35.17,1.35,36.52,107.51
83,10,2024-03-22,35.5,1.02,36.52,72.01
83,11,2024-04-22,35.84,0.68,36.52,36.17
83,12,2024-05-22,36.17,0.34,36.51,0.0
84,1,2023-06-18,195.88,11.47,207.35,1007.72
84,2,2023-07-18,197.74,9.6,207.34,809.98
84,3,2023-08-18,199.63,7.72,207.35,610.35
84,4,2023-09-18,201.53,5.81,207.34,408.82
84,5,2023-10-18,203.45,3.89,207.34,205.37
84,6,2023-11-18,205.37,1.96,207.33,0.0
85,1,2023-06-13,62.51,4.05,66.56,322.53
85,2,2023-07-13,63.16,3.39,66.55,259.37
85,3,2023-08-13,63.83,2.73,66.56,195.54
85,4,2023-09-13,64.5,2.06,66.56,131.04
85,5,2023-10-13,65.18,1.38,66.56,65.86
85,6,2023-11-13,65.86,0.69,66.55,0.0
86,1,2023-06-16,213.49,8.8,222.29,653.56
