loan_id,customer_id,application_id,origination_date,principal,term_months,apr,origination_fee_rate,origination_fee_amount,merchant_category,loan_status,default_date,principal_paid_total,outstanding_principal_end,orig_month,default_month
18,69,25,2023-02-24,1217.5329105089959,6,0.11624560265653086,0.004128950334608179,5.03,groceries,active,,1145.33,72.2,2023-02-01,
19,11,26,2023-02-16,378.375802619869,4,0.10870770712894745,0.00417419327287632,1.58,health,paid_off,,378.38,-0.0,2023-02-01,
20,51,27,2023-02-05,424.01209393197325,4,0.11047643780713186,0.005480511330794897,2.32,home_goods,paid_off,,424.01,0.0,2023-02-01,
21,74,28,2023-02-11,1027.1577431033575,4,0.12541884598556885,0.00638280701659181,6.56,home_goods,paid_off,,1027.16,-0.0,2023-02-01,
22,40,29,2023-02-19,255.71330025792417,4,0.15716102144764718,0.011526264152254285,2.95,auto,paid_off,,255.71,0.0,2023-02-01,
23,24,32,2023-02-13,495.85054049163887,4,0.11292953331652167,0.0034771295572542616,1.72,groceries,paid_off,,495.85,0.0,2023-02-01,
24,55,36,2023-02-27,540.0233529753608,4,0.1674133398277219,0.006212521468495792,3.35,groceries,paid_off,,540.02,0.0,2023-02-01,
25,81,37,2023-02-04,996.8842586605779,12,0.1262525483699273,0.002212171102188541,2.21,services,paid_off,,996.88,0.0,2023-02-01,
26,12,38,2023-02-23,784.5925120795564,4,0.11463597556782411,0.007117016657828568,5.58,travel,paid_off,,784.59,0.0,2023-02-01,
27,56,40,2023-02-03,1398.0489862713152,6,0.16074531520296673,0.012319721309316228,17.22,health,paid_off,,1398.05,-0.0,2023-02-01,
28,46,41,2023-02-16,630.1245214799682,6,0.1115147199417538,0.006231789667195379,3.93,travel,paid_off,,630.12,0.0,2023-02-01,
29,26,42,2023-02-25,461.2834497341444,4,0.1066875831744159,0.005451208434860168,2.51,home_goods,paid_off,,461.28,0.0,2023-02-01,
30,39,43,2023-03-01,316.522426185566,6,0.20395259848914396,0.019679823981323123,6.23,home_goods,paid_off,,316.52,0.0,2023-03-01,
31,165,44,2023-03-21,915.0792555856337,6,0.10950140064666425,0.003649130872706619,3.34,education,paid_off,,915.08,-0.0,2023-03-01,
32,80,45,2023-03-24,487.16318072689046,6,0.11596795014936927,0.005384749052216853,2.62,services,paid_off,,487.16,0.0,2023-03-01,
33,193,46,2023-03-16,682.7224227951923,4,0.12917026334892925,0.012074236469144073,8.24,groceries,paid_off,,682.72,0.0,2023-03-01,
34,180,48,2023-03-29,690.6353709970731,12,0.20127191418442286,0.012448037653744685,8.6,services,paid_off,,690.64,-0.0,2023-03-01,
35,120,50,2023-03-04,775.3053610959224,6,0.10680708082509772,0.0033811556250210157,2.62,home_goods,paid_off,,775.31,-0.0,2023-03-01,
36,14,51,2023-03-11,479.52165160817293,4,0.12644319783722557,0.0043164650859547436,2.07,services,paid_off,,479.52,0.0,2023-03-01,
37,54,52,2023-03-22,406.3854697327856,4,0.11100584172494407,0.004504727088359628,1.83,home_goods,paid_off,,406.39,-0.0,2023-03-01,
38,123,53,2023-03-15,1493.0024881662705,4,0.11390875049952147,0.004893176704126156,7.31,home_goods,paid_off,,1493.0,0.0,2023-03-01,
39,66,55,2023-03-22,843.937208895166,4,0.11229875779803936,0.0060076440420860815,5.07,electronics,paid_off,,843.94,-0.0,2023-03-01,
40,166,56,2023-03-05,704.5771907247047,6,0.10974809153725056,0.0058801521856222715,4.14,health,paid_off,,704.58,-0.0,2023-03-01,
41,190,57,2023-03-07,537.2883975045429,4,0.19915158120639054,0.017805794516556568,9.57,electronics,active,,497.8,39.49,2023-03-01,
42,90,58,2023-03-03,598.1129600328989,4,0.12383389540282592,0.006065406289057546,3.63,groceries,defaulted,2023-07-02,164.97,433.14,2023-03-01,2023-07-01
43,74,59,2023-03-23,1039.725602861227,6,0.11563226770561151,0.0045792564891750705,4.76,groceries,paid_off,,1039.73,-0.0,2023-03-01,
44,94,60,2023-03-10,757.8613681886148,4,0.11361819761590672,0.003991408350312448,3.02,health,paid_off,,757.86,0.0,2023-03-01,
45,150,61,2023-03-17,816.8581701247875,12,0.10957914948993572,0.009073464814815904,7.41,groceries,paid_off,,816.86,-0.0,2023-03-01,
46,117,62,2023-03-07,605.3268769313153,6,0.16875518814307927,0.008980979466399277,5.44,auto,paid_off,,605.33,-0.0,2023-03-01,
47,79,63,2023-03-04,259.0205942598673,12,0.11125727964327661,0.0051766793110794365,1.34,groceries,paid_off,,259.02,0.0,2023-03-01,
48,137,64,2023-03-08,1310.227785565304,4,0.119001891479541,0.00484587589060394,6.35,education,paid_off,,1310.23,-0.0,2023-03-01,
49,272,66,2023-04-22,1220.9235066572248,4,0.11415382750202592,0.0063410889271548025,7.74,health,paid_off,,1220.92,0.0,2023-04-01,
50,46,68,2023-04-16,365.8511345390128,12,0.11108855969670112,0.003237583919301283,1.18,home_goods,paid_off,,365.85,0.0,2023-04-01,
51,363,69,2023-04-16,492.64474075532615,4,0.16540179986790526,0.013244592574611625,6.52,travel,paid_off,,492.64,0.0,2023-04-01,
52,189,70,2023-04-12,614.3189798939038,4,0.15661589362539952,0.012386377550610287,7.61,home_goods,paid_off,,614.32,-0.0,2023-04-01,
53,283,71,2023-04-21,548.723622414985,6,0.12896401747867237,0.0047950382493067815,2.63,travel,paid_off,,548.72,0.0,2023-04-01,
54,176,72,2023-04-11,576.8682914698327,12,0.1097127982112463,0.003423431719918924,1.97,home_goods,active,,567.12,9.75,2023-04-01,
55,419,74,2023-04-19,542.8201050978179,4,0.14631871714078054,0.007785718942418574,4.23,education,paid_off,,542.82,0.0,2023-04-01,
56,381,75,2023-04-19,814.7126018941243,6,0.1272565770570969,0.0031659659284802525,2.58,groceries,paid_off,,814.71,0.0,2023-04-01,
57,361,76,2023-04-28,1012.7321456153338,6,0.11398614437958228,0.0034817154097057995,3.53,fashion,paid_off,,1012.73,0.0,2023-04-01,
58,260,77,2023-04-23,1088.5669078037783,4,0.10937491475498956,0.0072309759336704905,7.87,services,paid_off,,1088.57,-0.0,2023-04-01,
59,196,79,2023-04-23,604.5772347461789,4,0.1174570813993736,0.0035342331611377185,2.14,health,paid_off,,604.58,-0.0,2023-04-01,
60,136,81,2023-04-27,427.61948667192564,4,0.15693151855151038,0.006948901886656629,2.97,auto,paid_off,,427.62,-0.0,2023-04-01,
61,218,84,2023-04-18,814.3622566133187,6,0.21368880303150892,0.018457979135499788,15.03,fashion,defaulted,2023-12-17,569.49,244.87,2023-04-01,2023-12-01
62,318,85,2023-04-11,324.2288074440001,12,0.21495107214397013,0.014023100754715667,4.55,groceries,active,,313.56,10.67,2023-04-01,
63,113,86,2023-04-02,330.9500594042813,4,0.1563376790971108,0.012016530041394488,3.98,groceries,paid_off,,330.95,0.0,2023-04-01,
64,346,87,2023-04-13,1337.8155888926308,12,0.1048944319185218,0.004672529736324693,6.25,groceries,paid_off,,1337.82,-0.0,2023-04-01,
65,491,88,2023-05-15,321.3235651356046,12,0.14685117458726132,0.005645159046185535,1.81,travel,paid_off,,321.32,0.0,2023-05-01,
66,165,90,2023-05-21,759.9475782651645,12,0.10631504895243221,0.0037145677487803418,2.82,travel,paid_off,,759.95,-0.0,2023-05-01,
67,370,91,2023-05-17,660.0258228637045,6,0.1287293155891371,0.00925338734994656,6.11,fashion,paid_off,,660.03,-0.0,2023-05-01,
68,632,92,2023-05-09,834.1907322273988,4,0.12414042107289026,0.009135608416297642,7.62,auto,paid_off,,834.19,0.0,2023-05-01,
69,471,94,2023-05-09,228.3123163321726,12,0.1516739963774036,0.005529627427345933,1.26,groceries,paid_off,,228.31,0.0,2023-05-01,
70,110,95,2023-05-20,397.8926911834263,4,0.19579269023227375,0.017837537765731135,7.1,travel,paid_off,,397.89,0.0,2023-05-01,
71,333,97,2023-05-19,414.50153058900867,4,0.12701301684824,0.004099738825306701,1.7,auto,paid_off,,414.5,0.0,2023-05-01,
72,599,101,2023-05-30,608.9536318411749,4,0.16681921274179135,0.011003442172634407,6.7,fashion,paid_off,,608.95,0.0,2023-05-01,
73,414,102,2023-05-03,898.6708765434055,6,0.10583306721100616,0.007334794036815194,6.59,education,paid_off,,898.67,0.0,2023-05-01,
74,608,104,2023-05-11,362.72182948426143,4,0.11454705431057295,0.006708433604051747,2.43,home_goods,paid_off,,362.72,0.0,2023-05-01,
75,592,105,2023-05-24,419.7576158941079,4,0.10917728089348942,0.005763208866433177,2.42,health,defaulted,2023-11-22,253.45,166.31,2023-05-01,2023-11-01
76,354,106,2023-05-22,423.52265059623335,12,0.1986904501572546,0.01706718027729996,7.23,fashion,paid_off,,423.52,0.0,2023-05-01,
77,629,107,2023-05-31,281.2261696724126,12,0.10752908680958687,0.003131449833302241,0.88,services,paid_off,,281.23,-0.0,2023-05-01,
78,114,108,2023-05-19,1290.3350280737207,12,0.11778139033939665,0.0071212562949319585,9.19,home_goods,paid_off,,1290.34,-0.0,2023-05-01,
79,465,109,2023-05-28,721.6331540193864,4,0.11175093864080093,0.004600063294761008,3.32,education,paid_off,,721.63,0.0,2023-05-01,
80,579,110,2023-05-10,352.2993200064543,6,0.16026999894372262,0.010122243890917551,3.57,electronics,paid_off,,352.3,-0.0,2023-05-01,
81,135,111,2023-05-20,622.3291246911398,6,0.1268654070337616,0.008193892337003676,5.1,electronics,paid_off,,622.33,-0.0,2023-05-01,
82,380,112,2023-05-10,704.1755444544168,4,0.11202748015570767,0.0033550782349742944,2.36,fashion,paid_off,,704.18,-0.0,2023-05-01,
83,351,113,2023-05-22,412.418788779809,12,0.1135421862263057,0.005592672543661373,2.31,auto,paid_off,,412.42,-0.0,2023-05-01,
84,505,114,2023-05-18,1203.6043125777057,6,0.11430872626803724,0.006057217020743816,7.29,electronics,paid_off,,1203.6,0.0,2023-05-01,
85,14,115,2023-05-13,385.0429937839029,6,0.12625858727143896,0.004457735513501354,1.72,health,paid_off,,385.04,0.0,2023-05-01,
86,473,116,2023-05-16,867.0525556659895,4,0.12180029981342097,0.007224637273067177,6.26,fashion,paid_off,,867.05,0.0,2023-05-01,
87,506,117,2023-05-12,472.8380647462155,4,0.1409773710344776,0.010203796865181892,4.82,services,paid_off,,472.84,-0.0,2023-05-01,
88,252,118,2023-05-03,428.8828354491271,4,0.15181521984391397,0.00822926991220471,3.53,groceries,paid_off,,428.88,0.0,2023-05-01,
89,80,119,2023-05-24,1771.4416702345536,6,0.11783953522359351,0.008159876182260266,14.45,services,paid_off,,1771.44,0.0,2023-05-01,
90,168,120,2023-05-22,419.3555840085651,4,0.11733276978230787,0.00633051144598163,2.65,groceries,paid_off,,419.36,-0.0,2023-05-01,
91,425,121,2023-05-27,1130.4287493858717,4,0.10241750715994881,0.003747535900005161,4.24,auto,paid_off,,1130.43,-0.0,2023-05-01,
92,592,122,2023-06-27,427.3500124378697,4,0.11567127448170747,0.005525650898978658,2.36,health,paid_off,,427.35,0.0,2023-06-01,
93,610,123,2023-06-12,740.4937490329891,12,0.11597641494362076,0.004116541440030763,3.05,electronics,paid_off,,740.49,0.0,2023-06-01,
94,689,124,2023-06-30,783.055416526767,12,0.12233653344625403,0.0021602529314636632,1.69,auto,paid_off,,783.06,-0.0,2023-06-01,
95,54,128,2023-06-02,749.8408903658167,6,0.10139681605471804,0.005055454727536769,3.79,fashion,paid_off,,749.84,0.0,2023-06-01,
96,499,129,2023-06-05,605.5670713945926,12,0.11476827174139723,0.0012744814607747838,0.77,groceries,active,,581.29,24.28,2023-06-01,
97,537,130,2023-06-22,1096.9697691076606,4,0.11207587411670084,0.006531468711620116,7.16,services,paid_off,,1096.97,-0.0,2023-06-01,
98,411,131,2023-06-27,789.8452255075911,6,0.15842618238160783,0.017953925546674653,14.18,fashion,paid_off,,789.85,-0.0,2023-06-01,
99,327,132,2023-06-23,1070.2016183461485,4,0.12207268737043907,0.0067521845061368135,7.23,education,paid_off,,1070.2,0.0,2023-06-01,
100,739,133,2023-06-25,655.8466306405002,6,0.12652860436739397,0.003000836312568789,1.97,electronics,paid_off,,655.85,-0.0,2023-06-01,
101,727,134,2023-06-13,468.41631104168806,6,0.11214563951939241,0.007045445623941288,3.3,health,paid_off,,468.42,-0.0,2023-06-01,
102,255,136,2023-06-26,484.30621479420483,4,0.16013945287072273,0.009358086475412784,4.53,travel,paid_off,,484.31,-0.0,2023-06-01,
103,307,137,2023-06-18,502.3919317052756,4,0.14479519488195197,0.009679919613416783,4.86,education,active,,460.03,42.36,2023-06-01,
104,790,138,2023-06-07,373.3448594871528,6,0.17031765452479936,0.016255245526494554,6.07,fashion,paid_off,,373.34,0.0,2023-06-01,
105,46,139,2023-06-03,748.0295423786349,6,0.11990944056476555,0.0044814190179802565,3.35,travel,paid_off,,748.03,-0.0,2023-06-01,
106,662,141,2023-06-14,537.0301324755029,6,0.10894097266170562,0.006436401938700424,3.46,services,paid_off,,537.03,0.0,2023-06-01,
107,571,144,2023-06-14,346.17849268560377,12,0.13359700374540986,0.006797309326826503,2.35,electronics,paid_off,,346.18,-0.0,2023-06-01,
108,643,145,2023-06-24,301.22896559142384,6,0.14446561842436453,0.014946298158486127,4.5,electronics,paid_off,,301.23,-0.0,2023-06-01,
109,589,146,2023-06-23,951.2704480877418,4,0.13115060244794094,0.007971736495740228,7.58,education,paid_off,,951.27,0.0,2023-06-01,
110,244,148,2023-06-16,366.7554684857341,12,0.10074012035236288,0.006470754679644619,2.37,travel,paid_off,,366.76,-0.0,2023-06-01,
111,51,149,2023-06-18,995.9531309703542,12,0.09953673036641854,0.005865888944902204,5.84,auto,defaulted,2024-04-17,599.27,396.68,2023-06-01,2024-04-01
112,376,150,2023-06-01,758.7186417577888,12,0.10851956914503921,0.005688939597474256,4.32,services,paid_off,,758.72,-0.0,2023-06-01,
113,583,152,2023-06-06,455.6414870804545,6,0.16612067464418004,0.01066097798905138,4.86,health,paid_off,,455.64,0.0,2023-06-01,
114,62,153,2023-06-28,861.5087438980242,4,0.18892171170097952,0.018418169944850314,15.87,fashion,paid_off,,861.51,-0.0,2023-06-01,
115,601,154,2023-06-05,643.5149395076121,6,0.1190870443765229,0.0027619242363984896,1.78,education,paid_off,,643.51,0.0,2023-06-01,
116,617,155,2023-06-28,501.02651155777215,4,0.147387738457923,0.009259658037921255,4.64,auto,paid_off,,501.03,-0.0,2023-06-01,
117,703,156,2023-06-25,467.7200486479483,4,0.1561398151146288,0.007892057795064487,3.69,travel,paid_off,,467.72,0.0,2023-06-01,
118,789,157,2023-06-17,959.0213893970486,4,0.10453359890018923,0.004606164422369949,4.42,fashion,paid_off,,959.02,0.0,2023-06-01,
119,28,158,2023-06-05,1226.1617766204427,4,0.12755022670407756,0.007452187517176811,9.14,education,paid_off,,1226.16,0.0,2023-06-01,
120,470,159,2023-07-10,564.6882172640491,6,0.16319906473201368,0.015165299888494424,8.56,education,paid_off,,564.69,-0.0,2023-07-01,
121,792,160,2023-07-21,295.067745918188,4,0.12433262856032305,0.005364510759487288,1.58,electronics,paid_off,,295.07,-0.0,2023-07-01,
122,267,162,2023-07-17,507.7324763551094,12,0.10730126485967288,0.005683559017146215,2.89,home_goods,defaulted,2024-01-15,80.9,426.83,2023-07-01,2024-01-01
123,346,165,2023-07-26,640.5289075499793,4,0.10139520130859878,0.0057629612823951746,3.69,electronics,active,,581.41,59.12,2023-07-01,
124,599,166,2023-07-12,472.9390738144983,6,0.15580914598620124,0.009117291242811782,4.31,services,paid_off,,472.94,-0.0,2023-07-01,
125,18,167,2023-07-10,843.3853442189733,4,0.12290795160105394,0.005560985166408537,4.69,fashion,paid_off,,843.39,-0.0,2023-07-01,
126,759,170,2023-07-18,845.310818489871,12,0.11145527250319401,0.004965797477984207,4.2,auto,paid_off,,845.31,0.0,2023-07-01,
127,856,172,2023-07-13,455.45378204355285,6,0.14899877436587347,0.011408726525779487,5.2,travel,active,,443.08,12.37,2023-07-01,
128,129,173,2023-07-03,782.5582561891918,4,0.11415007219742132,0.004589873735970239,3.59,auto,paid_off,,782.56,-0.0,2023-07-01,
129,123,174,2023-07-01,1365.7063189135292,6,0.11783849138920179,0.00731960824887101,10.0,education,paid_off,,1365.71,-0.0,2023-07-01,
130,864,176,2023-07-04,590.5345589424855,6,0.1575649899165849,0.008406653367221786,4.96,electronics,paid_off,,590.53,0.0,2023-07-01,
131,920,177,2023-07-25,317.3296645368675,4,0.2243190861995084,0.021755616284186107,6.9,electronics,paid_off,,317.33,-0.0,2023-07-01,
132,721,178,2023-07-11,756.4668718703965,6,0.1036428518037175,0.0022278904582700584,1.69,groceries,paid_off,,756.47,-0.0,2023-07-01,
133,429,179,2023-07-13,540.4634821142173,6,0.16484589362683427,0.009712617032614956,5.25,travel,paid_off,,540.46,0.0,2023-07-01,
134,491,180,2023-07-30,528.8046250450986,6,0.1450150178040885,0.01356892945620399,7.18,electronics,paid_off,,528.8,0.0,2023-07-01,
135,238,181,2023-07-15,424.6364560708585,12,0.14657721689750292,0.01311380375579767,5.57,auto,paid_off,,424.64,-0.0,2023-07-01,
136,630,182,2023-07-19,877.8393622965593,4,0.15008061925831231,0.013014595272173394,11.42,home_goods,paid_off,,877.84,-0.0,2023-07-01,
137,947,183,2023-07-17,634.7049386630471,6,0.1724117887930139,0.011180258265230707,7.1,fashion,paid_off,,634.7,0.0,2023-07-01,
138,167,184,2023-07-22,132.73460456475055,4,0.22417426217720307,0.018291873576916456,2.43,fashion,paid_off,,132.73,0.0,2023-07-01,
139,213,185,2023-07-18,277.85175357777933,4,0.16139497130194488,0.009537938194042033,2.65,groceries,paid_off,,277.85,0.0,2023-07-01,
140,398,186,2023-07-19,369.93358354564276,4,0.25222347302643366,0.022702474233858273,8.4,fashion,paid_off,,369.93,0.0,2023-07-01,
141,582,188,2023-07-01,510.431834338279,4,0.11641038959681352,0.0042876570124767465,2.19,electronics,paid_off,,510.43,0.0,2023-07-01,
142,644,190,2023-07-17,431.1240706947191,4,0.10284511209211283,0.004734253911592842,2.04,electronics,paid_off,,431.12,0.0,2023-07-01,
143,84,191,2023-07-24,723.2935604503956,4,0.10185586873671315,0.006074572060170612,4.39,groceries,paid_off,,723.29,0.0,2023-07-01,
144,922,193,2023-07-17,445.20604391760054,4,0.12285936498402794,0.0048387063666844405,2.15,groceries,paid_off,,445.21,-0.0,2023-07-01,
145,363,195,2023-08-04,725.4498302780773,12,0.13858684206540356,0.01262039569681506,9.16,electronics,paid_off,,725.45,-0.0,2023-08-01,
146,301,196,2023-08-30,781.2379555423302,4,0.12350803380877391,0.006360173864653873,4.97,services,paid_off,,781.24,-0.0,2023-08-01,
147,314,197,2023-08-01,613.9826851859477,4,0.1443967187360131,0.011594082806679194,7.12,groceries,paid_off,,613.98,0.0,2023-08-01,
148,252,198,2023-08-31,644.3713347241229,12,0.15694884178155338,0.012109911583203542,7.8,groceries,paid_off,,644.37,0.0,2023-08-01,
149,87,199,2023-08-16,529.4229366678193,4,0.15386890012245646,0.004674519351902297,2.47,groceries,paid_off,,529.42,0.0,2023-08-01,
150,1119,201,2023-08-03,1661.682657963577,6,0.118433595174904,0.004073986440627697,6.77,services,paid_off,,1661.68,0.0,2023-08-01,
151,169,202,2023-08-14,525.9974736761277,6,0.1428269397498879,0.00921283329673995,4.85,services,paid_off,,526.0,-0.0,2023-08-01,
152,150,204,2023-08-14,528.4355924439778,12,0.10410958425101587,0.004448298636051156,2.35,electronics,active,,506.27,22.17,2023-08-01,
153,397,205,2023-08-27,612.9029754078884,12,0.1158711916240558,0.005904122238340302,3.62,home_goods,paid_off,,612.9,0.0,2023-08-01,
154,1089,206,2023-08-25,279.4716365320201,12,0.1443473658776328,0.01295282768082216,3.62,health,paid_off,,279.47,0.0,2023-08-01,
155,729,207,2023-08-21,553.4423521085519,4,0.11759430646574587,0.005432575292475414,3.01,fashion,paid_off,,553.44,0.0,2023-08-01,
156,1109,208,2023-08-04,562.2831274798041,6,0.14362228459960874,0.007813029970392304,4.39,electronics,paid_off,,562.28,0.0,2023-08-01,
157,212,209,2023-08-10,685.2835513985323,4,0.11820222772703544,0.005803305061109067,3.98,health,paid_off,,685.28,0.0,2023-08-01,
158,838,210,2023-08-08,862.4830614673479,4,0.1232742429544008,0.007465217396460787,6.44,fashion,paid_off,,862.48,0.0,2023-08-01,
159,91,211,2023-08-13,541.627723733566,4,0.2177620446562952,0.01837347552910315,9.95,home_goods,paid_off,,541.63,-0.0,2023-08-01,
160,495,215,2023-08-14,1337.888752831129,4,0.10914129456585829,0.006355879781865657,8.5,groceries,paid_off,,1337.89,-0.0,2023-08-01,
161,219,216,2023-08-19,586.677360015276,4,0.15931120214618077,0.0070718534237694895,4.15,health,paid_off,,586.68,-0.0,2023-08-01,
162,474,217,2023-08-06,1207.1076088220298,4,0.10114013235874317,0.005022913730195279,6.06,home_goods,paid_off,,1207.11,-0.0,2023-08-01,
163,147,218,2023-08-22,713.5682304017791,4,0.10434241323381904,0.005707866329053755,4.07,education,paid_off,,713.57,-0.0,2023-08-01,
164,57,220,2023-08-14,402.638040036018,4,0.1520558220512045,0.009033721852500492,3.64,groceries,paid_off,,402.64,-0.0,2023-08-01,
165,18,222,2023-08-23,396.66040508279775,4,0.11425433273839278,0.004301878575744694,1.71,home_goods,paid_off,,396.66,0.0,2023-08-01,
166,922,223,2023-08-10,829.2873498123791,4,0.14,0.0053970167349011375,4.48,services,paid_off,,829.29,-0.0,2023-08-01,
167,861,225,2023-08-14,852.3695930157282,6,0.11492068311529742,0.004320877482253292,3.68,fashion,defaulted,2024-03-13,533.5,318.87,2023-08-01,2024-03-01
168,641,226,2023-08-09,312.35774644654384,6,0.15485649474746455,0.012260001243363332,3.83,electronics,paid_off,,312.36,-0.0,2023-08-01,
169,100,227,2023-08-24,350.7373822395871,4,0.11017070594317828,0.006304087327562432,2.21,fashion,paid_off,,350.74,-0.0,2023-08-01,
170,777,228,2023-08-07,1804.8988096210103,6,0.14352449676556256,0.010039553209236962,18.12,education,paid_off,,1804.9,-0.0,2023-08-01,
171,1080,229,2023-08-16,604.325348570673,6,0.11530298735070733,0.0076204972922161805,4.61,travel,paid_off,,604.33,-0.0,2023-08-01,
172,61,231,2023-08-05,576.3379128866557,12,0.10805283129199127,0.008316198707278458,4.79,groceries,paid_off,,576.34,-0.0,2023-08-01,
173,291,232,2023-08-31,616.6080847972273,6,0.11182132543419311,0.009502745734818557,5.86,services,paid_off,,616.61,-0.0,2023-08-01,
174,1036,233,2023-08-09,307.6606527253955,6,0.1055517556810344,0.00722550759972149,2.22,electronics,paid_off,,307.66,0.0,2023-08-01,
175,334,234,2023-08-08,325.063533600777,4,0.20312511442327089,0.018185130031891386,5.91,groceries,defaulted,2024-03-07,241.74,83.32,2023-08-01,2024-03-01
176,590,235,2023-08-28,645.2165174602586,12,0.15569913878105723,0.00936256320970444,6.04,fashion,defaulted,2024-08-26,418.97,226.25,2023-08-01,2024-08-01
177,1126,236,2023-08-13,609.1533196675238,4,0.21004937529788445,0.021040896939496186,12.82,electronics,paid_off,,609.15,0.0,2023-08-01,
178,297,239,2023-08-16,566.1971404498734,4,0.11324876832701546,0.00394907356246817,2.24,home_goods,paid_off,,566.2,-0.0,2023-08-01,
179,982,240,2023-09-07,309.79366057575066,4,0.19260553342696246,0.014033700684205987,4.35,travel,paid_off,,309.79,0.0,2023-09-01,
180,1009,242,2023-09-19,669.8703978145686,12,0.10751162932116706,0.0037532347925234083,2.51,health,paid_off,,669.87,0.0,2023-09-01,
181,557,243,2023-09-08,503.91029604536345,6,0.10014860231184788,0.0030369180060519302,1.53,home_goods,paid_off,,503.91,0.0,2023-09-01,
182,1056,244,2023-09-19,922.0864640024316,4,0.12057471589105317,0.003053879152102897,2.82,education,paid_off,,922.09,-0.0,2023-09-01,
183,761,247,2023-09-10,451.5182617112688,6,0.14657681785360516,0.007292528101304726,3.29,home_goods,paid_off,,451.52,-0.0,2023-09-01,
184,504,248,2023-09-22,664.720102160881,4,0.11039514056502213,0.004604265283582988,3.06,fashion,paid_off,,664.72,0.0,2023-09-01,
185,48,249,2023-09-02,1178.2400317812417,4,0.11748936143445275,0.0050497166742462475,5.95,education,paid_off,,1178.24,0.0,2023-09-01,
186,1333,251,2023-09-16,553.320906269223,4,0.19378636707012586,0.017584033607267693,9.73,groceries,paid_off,,553.32,0.0,2023-09-01,
187,755,252,2023-09-17,137.95650341078345,4,0.1919020824911309,0.016745738608042075,2.31,groceries,paid_off,,137.96,-0.0,2023-09-01,
188,899,253,2023-09-25,467.80842190766924,12,0.16013191457274856,0.011355036950399898,5.31,services,defaulted,2024-05-25,196.3,271.51,2023-09-01,2024-05-01
189,80,254,2023-09-24,797.8345688082302,6,0.1149803089010601,0.0043203519890541,3.45,home_goods,paid_off,,797.83,0.0,2023-09-01,
190,300,257,2023-09-26,519.6529526417518,6,0.12126544779901258,0.000652531040185254,0.34,groceries,active,,483.36,36.29,2023-09-01,
191,745,260,2023-09-24,339.42775816498937,12,0.10514650022375145,0.0042796113169136785,1.45,groceries,paid_off,,339.43,-0.0,2023-09-01,
192,806,263,2023-09-23,528.0265699077863,12,0.12212674016737168,0.005313551631785047,2.81,electronics,paid_off,,528.03,-0.0,2023-09-01,
193,41,264,2023-09-28,1097.2079156309783,4,0.10979385557070692,0.007174109377110053,7.87,travel,paid_off,,1097.21,-0.0,2023-09-01,
