payment_id,loan_id,payment_date,payment_amount,paid_principal,paid_fee_interest,payment_type
89,19,2023-05-17,96.75,95.02,1.73,scheduled
90,19,2023-06-15,96.75,95.88,0.87,scheduled
91,20,2023-03-03,108.45,104.55,3.9,scheduled
92,20,2023-04-05,108.45,105.51,2.94,scheduled
93,20,2023-05-06,108.45,106.48,1.97,scheduled
94,20,2023-06-08,108.46,107.47,0.99,scheduled
95,21,2023-03-11,263.54,252.8,10.74,scheduled
96,21,2023-04-13,263.53,255.44,8.09,scheduled
97,21,2023-05-16,263.53,258.11,5.42,scheduled
98,21,2023-06-14,263.54,260.81,2.73,scheduled
99,22,2023-03-21,66.04,62.69,3.35,scheduled
100,22,2023-04-23,66.04,63.51,2.53,scheduled
101,22,2023-05-23,66.04,64.34,1.7,scheduled
102,22,2023-06-25,66.02,65.17,0.85,scheduled
103,23,2023-03-13,126.9,122.23,4.67,scheduled
104,23,2023-04-16,126.9,123.38,3.52,scheduled
105,23,2023-05-18,126.9,124.54,2.36,scheduled
106,23,2023-06-11,126.88,125.7,1.18,scheduled
107,24,2023-03-26,139.74,132.21,7.53,scheduled
108,24,2023-04-30,139.75,134.06,5.69,scheduled
109,24,2023-05-26,139.75,135.93,3.82,scheduled
110,24,2023-07-02,139.74,137.82,1.92,scheduled
111,25,2023-03-02,88.87,78.38,10.49,scheduled
112,25,2023-04-09,88.86,79.2,9.66,scheduled
113,25,2023-05-05,88.86,80.03,8.83,scheduled
114,25,2023-06-06,88.87,80.88,7.99,scheduled
115,25,2023-07-03,88.87,81.73,7.14,scheduled
116,25,2023-08-05,88.87,82.59,6.28,scheduled
117,25,2023-09-03,88.87,83.46,5.41,scheduled
118,25,2023-10-04,88.86,84.33,4.53,scheduled
119,25,2023-11-03,88.86,85.22,3.64,scheduled
120,25,2023-12-03,88.87,86.12,2.75,scheduled
121,25,2024-01-04,88.86,87.02,1.84,scheduled
122,25,2024-02-05,88.85,87.92,0.93,scheduled
123,26,2023-03-22,200.86,193.36,7.5,scheduled
124,26,2023-04-24,200.86,195.21,5.65,scheduled
125,26,2023-05-26,200.85,197.07,3.78,scheduled
126,26,2023-06-21,200.85,198.95,1.9,scheduled
127,27,2023-03-28,244.06,225.33,18.73,scheduled
128,27,2023-04-01,244.05,228.34,15.71,scheduled
129,27,2023-05-05,244.05,231.4,12.65,scheduled
130,27,2023-06-03,244.05,234.5,9.55,scheduled
131,27,2023-07-02,244.05,237.64,6.41,scheduled
132,27,2023-08-05,244.07,240.84,3.23,scheduled
133,28,2023-03-18,108.47,102.61,5.86,scheduled
134,28,2023-04-20,108.46,103.56,4.9,scheduled
135,28,2023-06-15,108.46,104.52,3.94,scheduled
136,28,2023-06-15,108.46,105.49,2.97,scheduled
137,28,2023-07-14,108.46,106.47,1.99,scheduled
138,28,2023-08-18,108.47,107.47,1.0,scheduled
139,29,2023-03-29,117.89,113.79,4.1,scheduled
140,29,2023-04-27,117.9,114.81,3.09,scheduled
141,29,2023-05-30,117.9,115.83,2.07,scheduled
142,29,2023-06-30,117.89,116.85,1.04,scheduled
143,30,2023-04-05,55.94,50.56,5.38,scheduled
144,30,2023-05-03,55.94,51.42,4.52,scheduled
145,30,2023-06-30,55.94,52.29,3.65,scheduled
146,30,2023-07-13,55.94,53.18,2.76,scheduled
147,30,2023-08-04,55.93,54.08,1.85,scheduled
148,30,2023-09-06,55.92,54.99,0.93,scheduled
149,31,2023-07-17,157.42,149.07,8.35,scheduled
150,31,2023-05-20,157.42,150.43,6.99,scheduled
151,31,2023-06-21,157.42,151.8,5.62,scheduled
152,31,2023-07-23,157.42,153.19,4.23,scheduled
153,31,2023-08-25,157.42,154.59,2.83,scheduled
154,31,2023-09-26,157.42,156.0,1.42,scheduled
155,32,2023-04-29,83.96,79.25,4.71,scheduled
156,32,2023-05-27,83.96,80.02,3.94,scheduled
157,32,2023-06-29,83.96,80.79,3.17,scheduled
158,32,2023-07-28,83.96,81.57,2.39,scheduled
159,32,2023-08-29,83.96,82.36,1.6,scheduled
160,32,2023-09-26,83.97,83.17,0.8,scheduled
161,33,2023-04-17,175.3,167.95,7.35,scheduled
162,33,2023-05-21,175.3,169.76,5.54,scheduled
163,33,2023-06-19,175.29,171.58,3.71,scheduled
164,33,2023-07-20,175.3,173.43,1.87,scheduled
165,34,2023-04-28,64.01,52.43,11.58,scheduled
166,34,2023-06-11,64.01,53.31,10.7,scheduled
167,34,2023-06-28,64.02,54.21,9.81,scheduled
168,34,2023-08-01,64.02,55.12,8.9,scheduled
169,34,2023-08-29,64.02,56.04,7.98,scheduled
170,34,2023-10-02,64.02,56.98,7.04,scheduled
171,34,2023-11-08,64.02,57.94,6.08,scheduled
172,34,2023-12-02,64.02,58.91,5.11,scheduled
173,34,2024-01-02,64.02,59.9,4.12,scheduled
174,34,2024-02-03,64.02,60.9,3.12,scheduled
175,34,2024-03-03,64.01,61.92,2.09,scheduled
176,34,2024-04-03,64.04,62.98,1.06,scheduled
177,35,2023-04-09,133.27,126.37,6.9,scheduled
178,35,2023-05-02,133.28,127.5,5.78,scheduled
179,35,2023-06-05,133.27,128.63,4.64,scheduled
180,35,2023-07-03,133.28,129.78,3.5,scheduled
181,35,2023-08-05,133.27,130.93,2.34,scheduled
182,35,2023-09-09,133.28,132.1,1.18,scheduled
183,36,2023-04-12,123.05,118.0,5.05,scheduled
184,36,2023-05-15,123.06,119.25,3.81,scheduled
185,36,2023-06-11,123.05,120.5,2.55,scheduled
186,36,2023-07-10,123.05,121.77,1.28,scheduled
187,37,2023-04-25,103.96,100.2,3.76,scheduled
188,37,2023-05-25,103.95,101.12,2.83,scheduled
189,37,2023-06-27,103.96,102.06,1.9,scheduled
190,37,2023-07-23,103.96,103.01,0.95,scheduled
191,38,2023-04-17,382.15,367.98,14.17,scheduled
192,38,2023-05-20,382.15,371.47,10.68,scheduled
193,38,2023-06-14,382.15,375.0,7.15,scheduled
194,38,2023-07-13,382.14,378.55,3.59,scheduled
195,39,2023-04-24,215.95,208.05,7.9,scheduled
196,39,2023-05-27,215.94,209.99,5.95,scheduled
197,39,2023-06-21,215.95,211.96,3.99,scheduled
198,39,2023-07-24,215.94,213.94,2.0,scheduled
199,40,2023-04-03,121.21,114.77,6.44,scheduled
200,40,2023-05-05,121.21,115.82,5.39,scheduled
201,40,2023-06-05,121.21,116.88,4.33,scheduled
202,40,2023-07-04,121.22,117.95,3.27,scheduled
203,40,2023-08-03,121.22,119.03,2.19,scheduled
204,40,2023-09-06,121.23,120.13,1.1,scheduled
205,41,2023-04-06,139.94,131.02,8.92,scheduled
206,41,2023-05-20,100.45,93.71,6.74,partial
207,41,2023-06-05,139.94,135.41,4.53,scheduled
208,41,2023-07-09,139.94,137.66,2.28,scheduled
209,43,2023-04-23,179.18,169.16,10.02,scheduled
210,43,2023-05-24,179.18,170.79,8.39,scheduled
211,43,2023-06-23,179.18,172.44,6.74,scheduled
212,43,2023-07-21,179.18,174.1,5.08,scheduled
213,43,2023-08-22,179.17,175.77,3.4,scheduled
214,43,2023-09-25,179.18,177.47,1.71,scheduled
215,44,2023-04-22,193.98,186.8,7.18,scheduled
216,44,2023-05-13,193.97,188.56,5.41,scheduled
217,44,2023-06-10,193.97,190.35,3.62,scheduled
218,44,2023-07-12,193.97,192.15,1.82,scheduled
219,45,2023-04-22,72.18,64.72,7.46,scheduled
220,45,2023-05-22,72.18,65.31,6.87,scheduled
221,45,2023-06-22,72.18,65.91,6.27,scheduled
222,45,2023-07-16,72.18,66.51,5.67,scheduled
223,45,2023-08-17,72.18,67.12,5.06,scheduled
224,45,2023-09-19,72.18,67.73,4.45,scheduled
225,45,2023-10-15,72.18,68.35,3.83,scheduled
226,45,2023-11-17,72.18,68.97,3.21,scheduled
227,45,2023-12-20,72.18,69.6,2.58,scheduled
228,45,2024-01-16,72.18,70.24,1.94,scheduled
229,45,2024-02-18,72.18,70.88,1.3,scheduled
230,45,2024-03-17,72.17,71.52,0.65,scheduled
231,46,2023-04-10,105.91,97.4,8.51,scheduled
232,46,2023-05-06,105.91,98.77,7.14,scheduled
233,46,2023-06-07,105.91,100.16,5.75,scheduled
234,46,2023-07-09,105.92,101.57,4.35,scheduled
235,46,2023-08-10,105.91,102.99,2.92,scheduled
236,46,2023-09-10,105.91,104.44,1.47,scheduled
237,47,2023-04-03,22.91,20.51,2.4,scheduled
238,47,2023-05-07,22.91,20.7,2.21,scheduled
239,47,2023-06-03,22.91,20.89,2.02,scheduled
240,47,2023-07-09,22.91,21.08,1.83,scheduled
241,47,2023-08-02,22.91,21.28,1.63,scheduled
242,47,2023-09-06,22.9,21.47,1.43,scheduled
243,47,2023-10-05,22.9,21.67,1.23,scheduled
244,47,2023-11-07,22.9,21.87,1.03,scheduled
245,47,2023-12-04,22.91,22.08,0.83,scheduled
246,47,2024-01-07,22.91,22.28,0.63,scheduled
247,47,2024-02-03,22.91,22.49,0.42,scheduled
248,47,2024-03-07,22.91,22.7,0.21,scheduled
249,48,2023-04-09,335.71,322.72,12.99,scheduled
250,48,2023-05-10,335.71,325.92,9.79,scheduled
251,48,2023-06-10,335.72,329.16,6.56,scheduled
252,48,2023-07-10,335.73,332.43,3.3,scheduled
253,49,2023-05-20,312.52,300.91,11.61,scheduled
254,49,2023-07-08,312.52,303.77,8.75,scheduled
255,49,2023-07-24,312.52,306.66,5.86,scheduled
256,49,2023-08-20,312.52,309.58,2.94,scheduled
257,50,2023-05-18,32.36,28.97,3.39,scheduled
258,50,2023-06-14,32.35,29.23,3.12,scheduled
259,50,2023-07-14,32.36,29.51,2.85,scheduled
260,50,2023-08-19,32.35,29.78,2.57,scheduled
261,50,2023-09-19,32.35,30.05,2.3,scheduled
262,50,2023-10-14,32.35,30.33,2.02,scheduled
263,50,2023-11-15,32.35,30.61,1.74,scheduled
264,50,2023-12-16,32.36,30.9,1.46,scheduled
265,50,2024-01-15,32.35,31.18,1.17,scheduled
266,50,2024-02-17,32.35,31.47,0.88,scheduled
267,50,2024-03-21,32.35,31.76,0.59,scheduled
268,50,2024-04-19,32.36,32.06,0.3,scheduled
269,51,2023-05-15,127.43,120.64,6.79,scheduled
270,51,2023-06-14,127.44,122.31,5.13,scheduled
271,51,2023-07-20,127.43,123.99,3.44,scheduled
272,51,2023-08-19,127.43,125.7,1.73,scheduled
273,52,2023-05-12,158.63,150.61,8.02,scheduled
274,52,2023-06-13,158.62,152.57,6.05,scheduled
275,52,2023-07-11,158.62,154.56,4.06,scheduled
276,52,2023-10-05,158.62,156.58,2.04,scheduled
277,53,2023-05-21,94.93,89.03,5.9,scheduled
278,53,2023-06-21,94.92,89.98,4.94,scheduled
279,53,2023-07-21,94.92,90.95,3.97,scheduled
280,53,2023-08-22,94.93,91.93,3.0,scheduled
281,53,2023-09-20,94.93,92.92,2.01,scheduled
282,53,2023-10-22,94.92,93.91,1.01,scheduled
283,54,2023-05-13,50.97,45.7,5.27,scheduled
284,54,2023-06-11,50.98,46.12,4.86,scheduled
285,54,2023-07-10,50.97,46.54,4.43,scheduled
286,54,2023-08-14,50.98,46.97,4.01,scheduled
287,54,2023-09-22,41.23,37.65,3.58,partial
288,54,2023-10-12,50.98,47.83,3.15,scheduled
289,54,2023-11-16,50.98,48.27,2.71,scheduled
290,54,2024-01-09,50.98,48.71,2.27,scheduled
291,54,2024-01-15,50.97,49.15,1.82,scheduled
292,54,2024-02-10,50.97,49.6,1.37,scheduled
293,54,2024-03-10,50.98,50.06,0.92,scheduled
294,54,2024-04-12,50.98,50.52,0.46,scheduled
295,55,2023-05-21,139.87,133.25,6.62,scheduled
296,55,2023-06-22,139.86,134.87,4.99,scheduled
297,55,2023-07-24,139.87,136.52,3.35,scheduled
298,55,2023-08-20,139.86,138.18,1.68,scheduled
299,56,2023-05-17,140.87,132.23,8.64,scheduled
300,56,2023-06-24,140.87,133.63,7.24,scheduled
301,56,2023-07-19,140.87,135.05,5.82,scheduled
302,56,2023-08-23,140.87,136.48,4.39,scheduled
303,56,2023-09-17,140.87,137.93,2.94,scheduled
304,56,2023-10-23,140.87,139.39,1.48,scheduled
305,57,2023-05-30,174.44,164.82,9.62,scheduled
306,57,2023-07-02,174.44,166.39,8.05,scheduled
307,57,2023-07-29,174.44,167.97,6.47,scheduled
308,57,2023-08-31,174.45,169.57,4.88,scheduled
309,57,2023-10-02,174.45,171.18,3.27,scheduled
310,57,2023-10-30,174.44,172.8,1.64,scheduled
311,58,2023-05-28,278.37,268.45,9.92,scheduled
312,58,2023-06-23,278.38,270.9,7.48,scheduled
313,58,2023-07-27,278.38,273.37,5.01,scheduled
314,58,2023-08-25,278.36,275.85,2.51,scheduled
315,59,2023-05-28,154.86,148.94,5.92,scheduled
316,59,2023-06-23,154.86,150.4,4.46,scheduled
317,59,2023-07-21,154.86,151.87,2.99,scheduled
318,59,2023-08-21,154.87,153.37,1.5,scheduled
319,60,2023-05-28,110.42,104.83,5.59,scheduled
320,60,2023-07-09,110.42,106.2,4.22,scheduled
321,60,2023-08-09,110.42,107.59,2.83,scheduled
322,60,2023-08-27,110.43,109.0,1.43,scheduled
323,61,2023-05-21,144.31,129.81,14.5,scheduled
324,61,2023-07-04,144.31,132.12,12.19,scheduled
325,61,2023-07-22,144.31,134.47,9.84,scheduled
326,61,2023-08-17,144.31,136.87,7.44,scheduled
327,62,2023-07-22,30.27,24.46,5.81,scheduled
328,62,2023-06-16,30.27,24.9,5.37,scheduled
329,62,2023-07-14,30.26,25.34,4.92,scheduled
330,62,2023-08-15,30.27,25.8,4.47,scheduled
331,62,2023-10-27,30.27,26.26,4.01,scheduled
332,62,2023-10-16,30.27,26.73,3.54,scheduled
333,62,2023-11-10,30.27,27.21,3.06,scheduled
334,62,2024-01-01,30.27,27.7,2.57,scheduled
335,62,2024-01-25,19.59,17.52,2.07,partial
336,62,2024-02-10,30.27,28.7,1.57,scheduled
337,62,2024-03-13,30.27,29.21,1.06,scheduled
338,62,2024-04-12,30.26,29.73,0.53,scheduled
339,63,2023-05-04,85.45,81.14,4.31,scheduled
340,63,2023-06-06,85.45,82.2,3.25,scheduled
341,63,2023-06-30,85.45,83.27,2.18,scheduled
342,63,2023-08-01,85.44,84.34,1.1,scheduled
343,64,2023-05-14,117.92,106.23,11.69,scheduled
344,64,2023-06-17,117.92,107.15,10.77,scheduled
345,64,2023-07-17,117.92,108.09,9.83,scheduled
346,64,2023-08-13,117.92,109.04,8.88,scheduled
347,64,2023-09-13,117.92,109.99,7.93,scheduled
348,64,2023-10-13,117.92,110.95,6.97,scheduled
349,64,2023-11-18,117.92,111.92,6.0,scheduled
350,64,2023-12-17,117.92,112.9,5.02,scheduled
351,64,2024-01-14,117.92,113.89,4.03,scheduled
352,64,2024-02-12,117.92,114.88,3.04,scheduled
353,64,2024-03-13,117.92,115.89,2.03,scheduled
354,64,2024-04-14,117.91,116.89,1.02,scheduled
355,65,2023-06-19,28.95,25.02,3.93,scheduled
356,65,2023-10-02,28.96,25.33,3.63,scheduled
357,65,2023-09-04,28.96,25.64,3.32,scheduled
358,65,2023-09-13,28.95,25.95,3.0,scheduled
359,65,2023-10-14,28.95,26.27,2.68,scheduled
360,65,2023-11-15,28.95,26.59,2.36,scheduled
361,65,2023-12-19,28.96,26.92,2.04,scheduled
362,65,2024-01-13,28.96,27.25,1.71,scheduled
363,65,2024-02-16,28.96,27.58,1.38,scheduled
364,65,2024-03-16,28.96,27.92,1.04,scheduled
365,65,2024-04-23,28.96,28.26,0.7,scheduled
366,65,2024-05-20,28.94,28.59,0.35,scheduled
367,66,2023-06-26,67.03,60.3,6.73,scheduled
368,66,2023-07-19,67.04,60.84,6.2,scheduled
369,66,2023-08-21,67.04,61.38,5.66,scheduled
370,66,2023-09-24,67.04,61.92,5.12,scheduled
371,66,2023-10-19,67.04,62.47,4.57,scheduled
372,66,2023-11-19,67.03,63.02,4.01,scheduled
373,66,2023-12-21,67.04,63.58,3.46,scheduled
374,66,2024-01-19,67.03,64.14,2.89,scheduled
375,66,2024-02-19,67.03,64.71,2.32,scheduled
376,66,2024-03-26,67.03,65.28,1.75,scheduled
377,66,2024-04-24,67.03,65.86,1.17,scheduled
378,66,2024-05-22,67.04,66.45,0.59,scheduled
379,67,2023-06-17,114.17,107.09,7.08,scheduled
380,67,2023-07-17,114.17,108.24,5.93,scheduled
381,67,2023-08-25,114.17,109.4,4.77,scheduled
382,67,2023-09-20,114.17,110.57,3.6,scheduled
383,67,2023-10-18,114.17,111.76,2.41,scheduled
384,67,2023-11-21,114.18,112.97,1.21,scheduled
385,68,2023-06-13,213.97,205.34,8.63,scheduled
386,68,2023-07-11,213.97,207.46,6.51,scheduled
387,68,2023-08-11,213.97,209.61,4.36,scheduled
388,68,2023-09-09,213.97,211.78,2.19,scheduled
389,69,2023-06-12,20.63,17.74,2.89,scheduled
390,69,2023-07-08,20.62,17.96,2.66,scheduled
391,69,2023-08-10,20.62,18.19,2.43,scheduled
392,69,2023-09-07,20.62,18.42,2.2,scheduled
393,69,2023-10-14,20.62,18.65,1.97,scheduled
394,69,2023-11-13,20.63,18.89,1.74,scheduled
395,69,2023-12-12,20.63,19.13,1.5,scheduled
396,69,2024-01-08,20.63,19.37,1.26,scheduled
397,69,2024-02-11,20.62,19.61,1.01,scheduled
398,69,2024-03-11,20.62,19.86,0.76,scheduled
399,69,2024-04-09,20.62,20.11,0.51,scheduled
400,69,2024-05-08,20.64,20.38,0.26,scheduled
401,70,2023-06-23,103.56,97.07,6.49,scheduled
402,70,2023-08-09,103.57,98.66,4.91,scheduled
403,70,2023-08-18,103.56,100.26,3.3,scheduled
404,70,2023-10-02,103.56,101.9,1.66,scheduled
405,71,2023-06-22,106.38,101.99,4.39,scheduled
406,71,2023-07-22,106.38,103.07,3.31,scheduled
407,71,2023-08-22,106.39,104.17,2.22,scheduled
408,71,2023-09-23,106.38,105.27,1.11,scheduled
409,72,2023-06-29,157.57,149.1,8.47,scheduled
410,72,2023-08-01,157.56,151.17,6.39,scheduled
411,72,2023-09-04,157.56,153.27,4.29,scheduled
412,72,2023-10-03,157.57,155.41,2.16,scheduled
413,73,2023-06-05,154.44,146.51,7.93,scheduled
414,73,2023-07-04,154.43,147.8,6.63,scheduled
415,73,2023-08-06,154.44,149.11,5.33,scheduled
416,73,2023-09-01,154.44,150.42,4.02,scheduled
417,73,2023-10-07,154.44,151.75,2.69,scheduled
418,73,2023-11-07,154.43,153.08,1.35,scheduled
419,74,2023-06-15,92.85,89.39,3.46,scheduled
420,74,2023-07-11,92.86,90.25,2.61,scheduled
421,74,2023-08-13,92.86,91.11,1.75,scheduled
422,74,2023-09-09,92.85,91.97,0.88,scheduled
423,75,2023-07-15,107.34,103.52,3.82,scheduled
424,75,2023-07-25,107.34,104.46,2.88,scheduled
425,76,2023-06-24,39.2,32.19,7.01,scheduled
426,76,2023-07-26,39.21,32.73,6.48,scheduled
427,76,2023-08-25,39.21,33.27,5.94,scheduled
428,76,2023-09-23,39.21,33.82,5.39,scheduled
429,76,2023-10-26,39.21,34.38,4.83,scheduled
430,76,2023-11-27,39.21,34.95,4.26,scheduled
431,76,2023-12-23,39.21,35.53,3.68,scheduled
432,76,2024-01-23,39.21,36.12,3.09,scheduled
433,76,2024-02-22,39.2,36.71,2.49,scheduled
434,76,2024-03-21,39.2,37.32,1.88,scheduled
435,76,2024-04-27,39.21,37.94,1.27,scheduled
436,76,2024-08-14,39.2,38.56,0.64,scheduled
437,77,2023-07-05,24.82,22.3,2.52,scheduled
438,77,2023-08-23,24.82,22.5,2.32,scheduled
439,77,2023-09-02,24.82,22.7,2.12,scheduled
440,77,2023-10-05,24.83,22.91,1.92,scheduled
441,77,2023-11-03,24.82,23.11,1.71,scheduled
442,77,2023-12-01,24.82,23.32,1.5,scheduled
443,77,2024-01-05,24.82,23.53,1.29,scheduled
444,77,2024-01-31,24.82,23.74,1.08,scheduled
445,77,2024-03-01,24.82,23.95,0.87,scheduled
446,77,2024-03-31,24.83,24.17,0.66,scheduled
447,77,2024-04-28,24.82,24.38,0.44,scheduled
448,77,2024-05-31,24.84,24.62,0.22,scheduled
449,78,2023-06-20,114.51,101.85,12.66,scheduled
450,78,2023-07-21,114.52,102.85,11.67,scheduled
451,78,2023-08-24,114.52,103.86,10.66,scheduled
452,78,2023-09-18,114.51,104.87,9.64,scheduled
453,78,2023-10-18,114.51,105.9,8.61,scheduled
454,78,2023-11-18,114.51,106.94,7.57,scheduled
455,78,2023-12-22,114.51,107.99,6.52,scheduled
456,78,2024-02-14,114.51,109.05,5.46,scheduled
457,78,2024-02-22,114.51,110.12,4.39,scheduled
458,78,2024-03-18,114.51,111.2,3.31,scheduled
459,78,2024-04-19,114.52,112.3,2.22,scheduled
460,78,2024-05-23,114.52,113.41,1.11,scheduled
461,79,2023-06-29,184.63,177.91,6.72,scheduled
462,79,2023-07-29,184.62,179.56,5.06,scheduled
463,79,2023-09-01,184.63,181.24,3.39,scheduled
464,79,2023-09-29,184.62,182.92,1.7,scheduled
465,80,2023-06-19,61.5,56.79,4.71,scheduled
466,80,2023-07-14,61.49,57.54,3.95,scheduled
467,80,2023-08-12,61.49,58.31,3.18,scheduled
468,80,2023-09-13,61.49,59.09,2.4,scheduled
469,80,2023-10-13,61.49,59.88,1.61,scheduled
470,80,2023-11-11,61.5,60.69,0.81,scheduled
471,81,2023-06-19,107.59,101.01,6.58,scheduled
472,81,2023-07-20,107.59,102.08,5.51,scheduled
473,81,2023-08-25,107.59,103.16,4.43,scheduled
474,81,2023-09-24,107.59,104.25,3.34,scheduled
475,81,2023-10-20,107.59,105.35,2.24,scheduled
476,81,2023-11-18,107.61,106.48,1.13,scheduled
477,82,2023-06-13,180.17,173.6,6.57,scheduled
478,82,2023-07-15,180.17,175.22,4.95,scheduled
479,82,2023-08-14,180.17,176.85,3.32,scheduled
480,82,2023-09-12,180.18,178.51,1.67,scheduled
481,83,2023-06-20,36.52,32.62,3.9,scheduled
482,83,2023-08-06,36.51,32.92,3.59,scheduled
483,83,2023-08-21,36.52,33.24,3.28,scheduled
484,83,2023-09-25,36.52,33.55,2.97,scheduled
485,83,2023-10-21,36.52,33.87,2.65,scheduled
486,83,2023-11-26,36.52,34.19,2.33,scheduled
487,83,2023-12-25,36.52,34.51,2.01,scheduled
488,83,2024-01-21,36.52,34.84,1.68,scheduled
489,83,2024-02-27,36.52,35.17,1.35,scheduled
490,83,2024-03-26,36.52,35.5,1.02,scheduled
491,83,2024-04-22,36.52,35.84,0.68,scheduled
492,83,2024-05-22,36.51,36.17,0.34,scheduled
493,84,2023-06-19,207.35,195.88,11.47,scheduled
494,84,2023-07-19,207.34,197.74,9.6,scheduled
495,84,2023-08-22,207.35,199.63,7.72,scheduled
496,84,2023-09-20,207.34,201.53,5.81,scheduled
497,84,2023-10-16,207.34,203.45,3.89,scheduled
